tip	date	distance	residual
RV3253_04-06-2015_Serengeti.fasta	2015.4219178082192	0.014269758361390224	0.0011554193895222456
RV3240_22-05-2015_Serengeti.fasta	2015.386301369863	0.013934052461390223	8.29688053184386E-4
RAB12002_15-06-2012_Pemba.fasta	2012.4535519125684	0.013595580361390225	0.001312547268640973
RAB12039_24-08-2011_Pemba.fasta	2011.6438356164383	0.013514018661390225	0.0014577507118389444
RV3229_05-01-2015_Serengeti.fasta	2015.0109589041097	0.013341213561390224	3.419657087009795E-4
RAB16024_21-09-2016_Pemba.fasta	2016.72131147541	0.012471291761390222	-0.0010069489775773061
RAB16027_07-10-2016_Pemba.fasta	2016.7650273224044	0.012556437261390224	-9.340463215846643E-4
RAB16029_05-10-2016_Pemba.fasta	2016.75956284153	0.012556400661390223	-9.325525660836761E-4
RAB16026_16-09-2016_Pemba.fasta	2016.707650273224	0.012550926461390223	-9.234883888249428E-4
RAB16028_04-10-2016_Pemba.fasta	2016.7568306010928	0.012717253061390222	-7.709349883331818E-4
RAB16025_21-09-2016_Pemba.fasta	2016.72131147541	0.013139543261390225	-3.38697477577303E-4
PM023_12-05-2017_Pemba.fasta	2017.358904109589	0.014289195661390223	6.323938811263734E-4
RAB16031_15-09-2016_Pemba.fasta	2016.704918032787	0.013581453261390224	1.0780358892544147E-4
RV2503_15-02-2009_Serengeti.fasta	2009.123287671233	0.011091054861390224	-2.5932089053143544E-4
RV2934_15-06-2007_Dodoma.fasta	2007.4520547945206	0.011068965261390222	1.866267274621622E-4
RV2767_12-09-2009_Serengeti.fasta	2009.695890410959	0.011323314961390224	-1.8742108325380848E-4
RV2784_28-02-2011_Nachingwea.fasta	2011.158904109589	0.011240281661390223	-6.801787675301419E-4
RV2778_15-12-2010_Pemba.fasta	2010.9534246575342	0.011747484261390223	-1.1543060794077555E-4
RV3116_07-05-2012_Serengeti.fasta	2012.3469945355191	0.011488544361390223	-7.646467990910684E-4
RV2862_11-05-2011_Serengeti.fasta	2011.3561643835617	0.011151393361390224	-8.243108047359202E-4
RV2772_02-08-2010_Kibaha.fasta	2010.5835616438355	0.011746446161390223	-1.2886700679870175E-5
SD641_05-04-2017_Serengeti.fasta	2017.2575342465752	0.011746446161390223	-0.001881966476142782
SUB7087_19-10-2001_Temeke.fasta	2001.7972602739726	0.012391202561390223	0.003092517827361828
RV2932_11-06-2007_Same.fasta	2007.441095890411	0.010159167861390223	-7.201015760263489E-4
RV2949_17-07-2009_Dodoma.fasta	2009.5397260273974	0.011266167461390223	-2.0083395796585864E-4
RV2813_29-04-2010_Morogoro.fasta	2010.323287671233	0.010879709961390222	-8.067318585333987E-4
